Velora minthus
Cendora pralis
Tavira noctum
Marentis flova
Quendia soralis
Pravora lentis
Lunara vexum
Ostrina kalpis
Ferona dulcis
Trevalis montum
Solendria pactis
Veruna clorix
Malora sentis
Prionis velum
Tandria folvus
Lurella mantis
Cavira noxum
Ferentis bladum
Zerona valtis
Truvia somnis
Calora vitis
Zentara plunis
Rovena claris
Somnora virentis
Ventrix palora
Aulonis greva
Darellum fostis
Melara pintus
Thalona crexis
Virentia solum
Kelora fintus
Maraxis delor
Vandora pelis
Osperia luntris
Cendrix avorum
Rilenta vostum
Taloris mendra
Ventara silvis
Galenis mortra
Belora quentis
